                  20                 160
                   3                 142        0.0010663758
                   3                 143        0.0012936028
                   3                 144        0.0015552981
                   3                 145        0.0019006924
                   3                 146        0.0022991224
                   3                 147        0.0027614361
                   3                 148        0.0034281351
                   3                 149        0.0042288584
                   3                 150        0.0052104078
                   3                 151        0.0065360623
                   3                 152        0.0081894954
                   3                 153        0.0102680994
                   3                 154        0.0130279389
                   3                 155        0.0167220725
                   3                 156        0.0215339904
                   3                 157        0.0277578502
                   3                 158        0.0360679930
                   3                 159        0.0471982130
                   4                   0        0.0621231807
                   4                   1        0.0475513783
                   4                   2        0.0368819052
                   4                   3        0.0288697776
                   4                   4        0.0227154081
                   4                   5        0.0179411215
                   4                   6        0.0141244802
                   4                   7        0.0110611822
                   4                   8        0.0088021807
                   4                   9        0.0070356106
                   4                  10        0.0056794642
                   4                  11        0.0046214857
                   4                  12        0.0037818739
                   4                  13        0.0031119962
                   4                  14        0.0025551185
                   4                  15        0.0021198998
                   4                  16        0.0017691439
                   4                  17        0.0014623970
                   4                  18        0.0012020315
                   4                  19        0.0010312124
                   4                  20        0.0008748713
                   4                  21        0.0007413630
                   4                  22        0.0006271417
                   4                  23        0.0005279562
                   4                  24        0.0004611081
                   4                  25        0.0004121689
                   4                  26        0.0003698706
                   4                  27        0.0003429367
                   4                  28        0.0003013043
                   4                  29        0.0002688744
                   4                  30        0.0002450375
                   4                  31        0.0002243069
                   4                  32        0.0001925324
                   4                  33        0.0001484779
                   4                  34        0.0001288921
                   4                  35        0.0001145920
                   4                  36        0.0001036679
                   4                  37        0.0001018563
                   4                  38        0.0001057971
                   4                  39        0.0001164748
                   4                  40        0.0001192568
                   4                  41        0.0001187841
                   4                  42        0.0001106133
                   4                  43        0.0001062841
                   4                  44        0.0000835656
                   4                  45        0.0000575375
                   4                  46        0.0000197070
                   4                  47       -0.0000142070
                   4                  48       -0.0000355691
                   4                  49       -0.0000279973
                   4                  50       -0.0000122725
                   4                  51       -0.0000010038
                   4                  52        0.0000146979
                   4                  53        0.0000270896
                   4                  54        0.0000305554
                   4                  55        0.0000230557
                   4                  56        0.0000165404
                   4                  57        0.0000283898
                   4                  58        0.0000373412
                   4                  59        0.0000446357
                   4                  60        0.0000479187
                   4                  61        0.0000517028
                   4                  62        0.0000578857
                   4                  63        0.0000629998
                   4                  64        0.0000628062
                   4                  65        0.0000621720
                   4                  66        0.0000570669
                   4                  67        0.0000487791
                   4                  68        0.0000449282
                   4                  69        0.0000420094
                   4                  70        0.0000424395
                   4                  71        0.0000485247
                   4                  72        0.0000646646
                   4                  73        0.0000791995
                   4                  74        0.0000940862
                   4                  75        0.0000993718
                   4                  76        0.0000915947
                   4                  77        0.0000857121
                   4                  78        0.0000746491
                   4                  79        0.0000624484
                   4                  80        0.0000581892
                   4                  81        0.0000564012
                   4                  82        0.0000514947
                   4                  83        0.0000428564
                   4                  84        0.0000427119
                   4                  85        0.0000465901
                   4                  86        0.0000471919
                   4                  87        0.0000532077
                   4                  88        0.0000503778
                   4                  89        0.0000558108
                   4                  90        0.0000560827
                   4                  91        0.0000492883
                   4                  92        0.0000427951
                   4                  93        0.0000368399
                   4                  94        0.0000387541
                   4                  95        0.0000354636
                   4                  96        0.0000265322
                   4                  97        0.0000224994
